task,horizon/model_name,config_name,use_history,use_player_identity,C,roc_auc,log_loss,brier,accuracy,white_mae,black_mae,avg_mae,white_rmse,black_rmse,white_r2,black_r2
classification,white_win_before,current_baseline_no_history,False,False,1.0,0.5464225140712946,0.6855994377888326,0.24660781277467084,0.522,,,,,,,
classification,white_win_after_3,current_baseline_no_history,False,False,1.0,0.5409310819262039,0.692577177012313,0.24997291270017968,0.5285,,,,,,,
classification,white_win_after_3,current_baseline_no_history,False,False,0.5,0.5433305816135084,0.6900914636337184,0.24877279598155166,0.5265,,,,,,,
classification,white_win_after_3,current_baseline_no_history,False,False,0.25,0.5446343964978111,0.6885342971794509,0.24801362189143641,0.5285,,,,,,,
classification,white_win_after_10,current_baseline_no_history,False,False,1.0,0.5569350844277674,0.6958695133747883,0.25112863396438156,0.5375,,,,,,,
classification,white_win_after_10,current_baseline_no_history,False,False,0.5,0.5604632895559725,0.691380863631748,0.249096207416296,0.5375,,,,,,,
classification,white_win_after_10,current_baseline_no_history,False,False,0.25,0.5636993120700438,0.6885823382567637,0.24779389061750975,0.5455,,,,,,,
classification,white_win_before,with_history,True,False,1.0,0.541672545340838,0.6877986853891513,0.24751722374764487,0.527,,,,,,,
classification,white_win_after_3,with_history,True,False,1.0,0.5370596622889305,0.6954930745569109,0.2512165265274484,0.523,,,,,,,
classification,white_win_after_3,with_history,True,False,0.5,0.5398544090056285,0.6928098930915538,0.24993005791768236,0.519,,,,,,,
classification,white_win_after_3,with_history,True,False,0.25,0.5411632270168856,0.6910687692374724,0.24909087541968336,0.5225,,,,,,,
classification,white_win_after_10,with_history,True,False,1.0,0.5543314571607255,0.6983395029272587,0.2520238816526613,0.5345,,,,,,,
classification,white_win_after_10,with_history,True,False,0.5,0.5574383989993746,0.6937618642810518,0.2499926956317824,0.538,,,,,,,
classification,white_win_after_10,with_history,True,False,0.25,0.5596868042526579,0.6908132659684068,0.24865533191009428,0.5345,,,,,,,
classification,white_win_before,with_player_identity,False,True,1.0,0.5437878674171357,0.6922674812600965,0.24976192613869602,0.5255,,,,,,,
classification,white_win_after_3,with_player_identity,False,True,1.0,0.5409590994371483,0.6984736369114745,0.25260430494616914,0.5185,,,,,,,
classification,white_win_after_3,with_player_identity,False,True,0.5,0.5438388993120701,0.6920746412233312,0.24967530542643568,0.5325,,,,,,,
classification,white_win_after_3,with_player_identity,False,True,0.25,0.5452878048780487,0.6891735321475796,0.24830665923651282,0.5235,,,,,,,
classification,white_win_after_10,with_player_identity,False,True,1.0,0.554052282676673,0.7027319614148586,0.2541199721241474,0.545,,,,,,,
classification,white_win_after_10,with_player_identity,False,True,0.5,0.5591854909318325,0.693804607452487,0.2501905850883922,0.544,,,,,,,
classification,white_win_after_10,with_player_identity,False,True,0.25,0.5629608505315823,0.6893583118430251,0.2481491299513637,0.545,,,,,,,
classification,white_win_before,with_history_and_player_identity,True,True,1.0,0.5346511569731082,0.6944499127744196,0.25069560266935104,0.5175,,,,,,,
classification,white_win_after_3,with_history_and_player_identity,True,True,1.0,0.5345961225766104,0.7014488448303007,0.2538692512057736,0.5195,,,,,,,
classification,white_win_after_3,with_history_and_player_identity,True,True,0.5,0.5379121951219512,0.6950847535955229,0.25097822054448315,0.527,,,,,,,
classification,white_win_after_3,with_history_and_player_identity,True,True,0.25,0.5400025015634772,0.6919514707954936,0.24951064935667697,0.5245,,,,,,,
classification,white_win_after_10,with_history_and_player_identity,True,True,1.0,0.5494764227642277,0.7051341810904058,0.2549876299573662,0.5465,,,,,,,
classification,white_win_after_10,with_history_and_player_identity,True,True,0.5,0.554227392120075,0.6964488010998754,0.2512193999510148,0.543,,,,,,,
classification,white_win_after_10,with_history_and_player_identity,True,True,0.25,0.5579667292057535,0.6918388476316217,0.24913904489907765,0.539,,,,,,,
regression,elo_after_10,no_history_no_identity,False,False,,,,,,243.81932293515703,246.13923925715252,244.97928109615478,304.5235639965738,306.5066171301563,0.31800268329613257,0.309131066914749
regression,elo_after_10,history_only,True,False,,,,,,147.79818206113387,149.2394091961428,148.51879562863832,195.63031252693114,197.40470804723523,0.7185422862916684,0.7134298397295145
regression,elo_after_10,identity_only,False,True,,,,,,239.6451740931539,242.12688526671346,240.8860296799337,299.3926029811414,301.6572276178223,0.3407912089691242,0.3308192724726702
regression,elo_after_10,history_and_identity,True,True,,,,,,147.2256961110268,148.9867313576874,148.10621373435708,195.40269248867727,197.28985127858923,0.7191968693570007,0.7137632152354034
