bin,count,mean_predicted_prob,actual_win_rate,calibration_gap
1,2000,0.2693254725884983,0.2905,-0.021174527411501665
2,2000,0.3790712984335434,0.414,-0.034928701566456555
3,2000,0.4222134253900575,0.4565,-0.0342865746099425
4,2000,0.45345012527000345,0.475,-0.021549874729996532
5,2000,0.4811692947946723,0.4875,-0.006330705205327691
6,2000,0.5074309457614952,0.495,0.012430945761495171
7,2000,0.5346298632862199,0.514,0.02062986328621985
8,2000,0.5663043681133977,0.5605,0.005804368113397684
9,2000,0.6096117211380246,0.5695,0.040111721138024636
10,2000,0.7214496236446062,0.7015,0.019949623644606174
